PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
1,"Guntars Krasts",1,8219,314,24328,ievēlēts,8,1,1,16423
2,"Roberts Zīle",4,4899,379,20943,ievēlēts,8,1,1,16423
3,"Ģirts-Valdis Kristovskis",3,5044,551,20916,"ievēlēts Vidzemes apgabalā",8,1,1,16423
4,"Māris Grīnblats",2,4383,918,19888,"ievēlēts Kurzemes apgabalā",8,1,1,16423
5,"Jānis Straume",28,3797,677,19543,"ievēlēts Vidzemes apgabalā",8,1,1,16423
6,"Inese Vaidere",5,2994,877,18540,"",8,1,1,16423
7,"Juris Dobelis",26,3252,1572,18103,"",8,1,1,16423
8,"Dzintars Rasnačs",8,2274,759,17938,"",8,1,1,16423
9,"Dainis Stalts",11,2028,794,17657,"",8,1,1,16423
10,"Aida Prēdele",6,1813,937,17299,"",8,1,1,16423
11,"Vilnis Zariņš",17,1437,627,17233,"",8,1,1,16423
12,"Vladimirs Makarovs",27,2235,1452,17206,"",8,1,1,16423
13,"Einārs Cilinskis",9,885,871,16437,"",8,1,1,16423
14,"Āris Roze",22,577,678,16322,"",8,1,1,16423
15,"Aigars Ķimenis",12,648,775,16296,"",8,1,1,16423
16,"Oļegs Batarevskis",14,745,904,16264,"",8,1,1,16423
17,"Ralfs Birķis",15,451,691,16183,"",8,1,1,16423
18,"Gita Grīnberga",19,455,716,16162,"",8,1,1,16423
19,"Gunārs Ivdra",20,487,754,16156,"",8,1,1,16423
20,"Normunds Pēterkops",13,639,923,16139,"",8,1,1,16423
21,"Imants Griķis",16,420,710,16133,"",8,1,1,16423
22,"Laura Gulbe",10,465,762,16126,"",8,1,1,16423
23,"Jānis Tomels",23,400,697,16126,"",8,1,1,16423
24,"Aija Fleija",25,458,782,16099,"",8,1,1,16423
25,"Baiba Jansone",21,404,732,16095,"",8,1,1,16423
26,"Imārs Kiršbaums",18,381,743,16061,"",8,1,1,16423
27,"Ivars Puksts",7,376,779,16020,"",8,1,1,16423
28,"Haldors Ivanovskis",24,290,796,15917,"",8,1,1,16423
1,"Guntars Krasts",2,7077,206,22041,"ievēlēts Rīgas apgabalā",8,1,2,15170
2,"Roberts Zīle",1,4157,271,19056,"ievēlēts Rīgas apgabalā",8,1,2,15170
3,"Ģirts-Valdis Kristovskis",25,4011,358,18823,ievēlēts,8,1,2,15170
4,"Jānis Straume",26,3527,496,18201,ievēlēts,8,1,2,15170
5,"Anna Seile",6,2714,550,17334,"ievēlēta Zemgales apgabalā",8,1,2,15170
6,"Juris Dobelis",3,2971,1206,16935,"",8,1,2,15170
7,"Inese Vaidere",22,2190,527,16833,"",8,1,2,15170
8,"Imants Kalniņš",24,2204,616,16758,"",8,1,2,15170
9,"Dainis Stalts",8,1388,473,16085,"",8,1,2,15170
10,"Aida Prēdele",10,1312,635,15847,"",8,1,2,15170
11,"Vladimirs Makarovs",4,1826,1195,15801,"",8,1,2,15170
12,"Andrejs Krastiņš",17,770,555,15385,"",8,1,2,15170
13,"Andrejs Požarnovs",13,1174,1008,15336,"",8,1,2,15170
14,"Jānis Strautnieks",5,646,490,15326,"",8,1,2,15170
15,"Dzintars Kudums",23,542,459,15253,"",8,1,2,15170
16,"Einārs Cilinskis",9,590,515,15245,"",8,1,2,15170
17,"Jānis Siliņš",16,527,478,15219,"",8,1,2,15170
18,"Roberts Jurdžs",12,665,619,15216,"",8,1,2,15170
19,"Aigars Eniņš",18,455,440,15185,"",8,1,2,15170
20,"Juris Griķis",11,480,492,15158,"",8,1,2,15170
21,"Normunds Broks",19,355,441,15084,"",8,1,2,15170
22,"Gints Lazdiņš",20,347,466,15051,"",8,1,2,15170
23,"Normunds Pēterkops",21,364,515,15019,"",8,1,2,15170
24,"Erna Pormeistere",7,365,593,14942,"",8,1,2,15170
25,"Jānis Gailis",15,317,546,14941,"",8,1,2,15170
26,"Viktors Jaksons",14,596,985,14781,"",8,1,2,15170
1,"Guntars Krasts",1,2288,281,7914,"ievēlēts Rīgas apgabalā",8,1,3,5907
2,"Pēteris Tabūns",5,1372,398,6881,ievēlēts,8,1,3,5907
3,"Ģirts-Valdis Kristovskis",16,1087,389,6605,"ievēlēts Vidzemes apgabalā",8,1,3,5907
4,"Juris Boldāns",2,1043,382,6568,"",8,1,3,5907
5,"Māris Grīnblats",17,1008,449,6466,"ievēlēts Kurzemes apgabalā",8,1,3,5907
6,"Vladimirs Makarovs",6,791,498,6200,"",8,1,3,5907
7,"Jānis Trupovnieks",3,718,427,6198,"",8,1,3,5907
8,"Roberts Jurdžs",4,675,465,6117,"",8,1,3,5907
9,"Andrejs Požarnovs",15,619,482,6044,"",8,1,3,5907
10,"Juris Galerijs Vidiņš",14,656,528,6035,"",8,1,3,5907
11,"Gunārs Spradzenko",7,457,463,5901,"",8,1,3,5907
12,"Jānis Mūrnieks",10,406,430,5883,"",8,1,3,5907
13,"Jānis Zviedris",8,427,473,5861,"",8,1,3,5907
14,"Jevģēnijs Slišāns",11,395,449,5853,"",8,1,3,5907
15,"Arnis Ludboržs",9,382,444,5845,"",8,1,3,5907
16,"Ringolds Zelčs",12,320,456,5771,"",8,1,3,5907
17,"Francis Kudiņš",13,314,472,5749,"",8,1,3,5907
1,"Ģirts-Valdis Kristovskis",1,2689,176,10076,"ievēlēts Vidzemes apgabalā",8,1,4,7563
2,"Roberts Zīle",14,1939,152,9350,"ievēlēts Rīgas apgabalā",8,1,4,7563
3,"Jānis Straume",2,1916,183,9296,"ievēlēts Vidzemes apgabalā",8,1,4,7563
4,"Māris Grīnblats",13,1768,279,9052,ievēlēts,8,1,4,7563
5,"Anna Seile",7,1446,305,8704,"ievēlēta Zemgales apgabalā",8,1,4,7563
6,"Imants Kalniņš",6,1230,349,8444,"",8,1,4,7563
