"Nr","Saraksts","Saīsinājums","Rīga","Vidzeme","Latgale","Kurzeme","Zemgale","Kopā","Procenti","Vietas","Aploksnes"
1,"MĀRAS ZEME","Māras zeme",1133,1348,777,421,721,4400,0.485,0,907460
2,"Saskaņas Centrs","SC",64971,15762,36859,6386,6909,130887,14.423,17,907460
3,"Politiskā patriotiskā apvienība “DZIMTENE”","Apvienība Dzimtene",9046,3098,4394,279,2043,18860,2.078,0,907460
4,"Partija “Visu Latvijai!”","Visu Latvijai!",3348,5039,787,1663,2632,13469,1.484,0,907460
5,"Politisko organizāciju apvienība “Par cilvēka tiesībām vienotā Latvijā”","PCTVL",27308,8408,10747,3029,5192,54684,6.026,6,907460
6,"Politiskā organizācija (partija) “Eiroskeptiķi”","Eiroskeptiķi",1144,981,270,345,625,3365,0.371,0,907460
7,"Zaļo un Zemnieku savienība","ZZS",25851,44580,16759,32962,31443,151595,16.705,18,907460
8,"Partija “Mūsu zeme”","Mūsu zeme",478,648,361,204,374,2065,0.228,0,907460
9,"Latvijas Pirmās partijas un partijas “Latvijas Ceļš” vēlēšanu apvienība","LPP/LC",22223,18098,18833,8285,10430,77869,8.581,10,907460
10,"Latvijas Sociāldemokrātiskā Strādnieku partija","LSDSP",7275,8448,7241,4687,4077,31728,3.496,0,907460
11,"Partija “Tēvzemes savienība”","Tēvzemes savienība",361,324,127,140,162,1114,0.123,0,907460
12,"Nacionālā Spēka Savienība","Nacionālā Spēka Savienība",361,293,117,246,155,1172,0.129,0,907460
13,"Jaunie Demokrāti","Jaunie Demokrāti",2581,3777,1255,1886,2006,11505,1.268,0,907460
14,"Tautas partija","TP",35813,61769,18844,31296,29759,177481,19.558,23,907460
15,"Jaunais laiks","JL",46813,51189,8693,19086,22821,148602,16.376,18,907460
16,"“LATVIEŠU LATVIJA” nacionālpolitiska Latviešu Aizstāvības Organizācija","Latviešu Latvija",299,282,120,222,207,1130,0.125,0,907460
17,"Politiskā organizācija “PENSIONĀRU UN SENIORU PARTIJA”","Pensionāru un Senioru partija",2120,2327,731,822,1175,7175,0.791,0,907460
18,"Sociālā Taisnīguma partija","Sociālā Taisnīguma partija",345,404,285,266,275,1575,0.174,0,907460
19,"Apvienība “Tēvzemei un Brīvībai”/LNNK","TB/LNNK",21488,19628,5324,7537,9012,62989,6.941,8,907460
,"Kopā",,272958,246403,132524,119762,130018,901665,99.361,100,907460
,"Deputātu skaits",,29,26,16,14,15,100,,,
